ds,id_user,ds_checkin,ds_checkout,n_searches,n_nights,n_guests_min,n_guests_max,origin_country,filter_price_min,filter_price_max,filter_room_types,filter_neighborhoods
6/10/2014,d528e24b-7c1f-446f-9bb0-a4ecb77c3acd,11/27/2014,11/30/2014,81,3,2,2,FR,0,135,",Entire home/apt",
5/10/2014,86b39b70-965b-479d-a0b0-719b195acea2,11/14/2014,11/16/2014,5,2,10,10,IE,,,",Entire home/apt",
8/10/2014,ebe81cf8-6037-43f2-81d2-fd386f5da74f,10/10/2014,10/13/2014,14,3,3,3,CA,0,274,",Entire home/apt",
10/14/2014,a09bf912-b21d-4859-b194-8512c30695f6,10/18/2014,10/21/2014,1,3,1,1,GB,,,Entire home/apt,
10/14/2014,b8831610-31f2-4c58-8ada-63b3601ca476,7/11/2014,11/29/2014,7,22,1,2,SG,,,"Entire home/apt,Private room,Entire home/apt,Private room,Shared room",
2/10/2014,b11cd744-101d-409b-9a55-7e151f2e79d5,3/10/2014,5/10/2014,109,2,1,1,DE,0,571,",Entire home/apt",
6/10/2014,679d857b-08b8-4748-b703-86735aa42296,3/11/2014,6/11/2014,5,3,2,3,GB,,,",Entire home/apt",
2/10/2014,6cbb33d1-6ecc-4f74-8b6a-a43d07d484b6,4/10/2014,7/10/2014,33,3,3,3,ES,0,950,",Entire home/apt,Entire home/apt,Private room,Entire home/apt,Private room,Shared room",
11/10/2014,a09bf912-b21d-4859-b194-8512c30695f6,10/17/2014,10/22/2014,19,5,2,2,GB,0,556,Entire home/apt,
6/10/2014,845e3c1d-6c06-4ef2-ade5-7eecefb56fbe,10/31/2014,2/11/2014,16,2,1,1,FR,0,246,",Entire home/apt",
10/14/2014,924f864f-db83-4945-9a65-cf42a657ca68,9/11/2014,11/15/2014,6,6,3,3,US,,,",Entire home/apt",
7/10/2014,5dacf820-a573-4ce2-9fd8-0d7ed979b822,10/17/2014,10/21/2014,11,4,3,3,CZ,0,329,",Entire home/apt",
10/13/2014,e0d259e6-1b67-4964-a6dc-e8a8c69d3e01,11/16/2014,11/17/2014,2,1,1,2,CH,0,131,",Entire home/apt",
11/10/2014,a09bf912-b21d-4859-b194-8512c30695f6,10/18/2014,10/22/2014,1,4,1,1,GB,,,Entire home/apt,
3/10/2014,6c541a87-d864-4de8-ae05-70ae57b50976,10/16/2014,10/22/2014,3,6,1,1,IT,0,124,",Private room",
7/10/2014,7e309181-e61e-426b-baef-dd031d5660d3,10/27/2014,2/11/2014,7,6,1,2,RU,0,139,Entire home/apt,
6/10/2014,a9f7ffb1-4970-492b-b448-4bd9d0fbeef3,3/20/2015,3/22/2015,1,2,5,5,AU,,,Entire home/apt,
10/10/2014,02f0a750-34da-4268-94e8-f1a371f0460e,,,4,,1,1,IT,,,",Private room",
10/10/2014,d328a4a0-df5f-4851-a864-a8845b45c1e0,10/23/2014,10/29/2014,3,6,1,1,DE,0,67,Private room,
1/10/2014,4995debc-b753-4401-b556-a2bcbb897eba,10/24/2014,10/29/2014,13,5,6,6,BE,,,Entire home/apt,
10/14/2014,b8831610-31f2-4c58-8ada-63b3601ca476,,,8,,1,1,SG,,,",Entire home/apt,Private room,Entire home/apt,Private room,Shared room,Entire home/apt,Shared room,Shared room",
10/10/2014,a03f86ca-5c44-4e66-8695-71c380cfc48b,11/10/2014,12/10/2014,8,1,1,1,IE,0,93,"Entire home/apt,Entire home/apt,Private room",
2/10/2014,6c541a87-d864-4de8-ae05-70ae57b50976,10/16/2014,10/21/2014,8,5,1,2,IT,0,136,Private room,
5/10/2014,eda96881-7b23-413a-9f6f-b45dc9fe2a5b,11/14/2014,11/16/2014,4,2,4,4,GB,0,209,Entire home/apt,
1/10/2014,c0075f4f-0cb0-489b-9f12-bf1dff573488,3/10/2014,4/10/2014,17,1,5,5,IE,0,447,",Entire home/apt",
2/10/2014,0f4ea370-702c-4f08-a00d-98e67c2a3574,10/10/2014,10/13/2014,18,3,3,9,US,0,180,",Entire home/apt",
10/13/2014,996d1871-8986-481b-8bbf-1a1420c68c90,12/3/2015,3/19/2015,14,7,2,4,IT,0,143,Entire home/apt,
12/10/2014,86b39b70-965b-479d-a0b0-719b195acea2,12/31/2014,2/1/2015,2,2,6,6,IE,,,Entire home/apt,
